idarticuloalfa,descripcion
115000097,AdeS Frutas Trop F 200ml TB 6B    
115000006,AdeS Manzana F 200ml TB 6B        
147000154,Cepita Multifruta 25% 200ml TB 6B
147000178,Fanta Manzana 375 ml NR Pet 6B
147000175,Schweppes Tonica Lata 310 ml 6B
147000174,Schweppes Pomelo Zero Lata 310 ml 6B
147000085,Monster Energy Green 473ml NR 6 Latas
147000149,Monster E. Green Zero 473ml NR 6 Latas
147000096,Monster E. Mango Loco 473ml NR 6 Latas
147000097,Monster Energy Ultra 473ml NR 6 Latas
147000124,Monster E U. Watermelon 473ml NR 6 Latas
147000180,Monster R.W. Pineapple 473ml NR 6 Latas
147000179,Monster Pipeline Punch 473ml NR 6 Latas
147000165,Aquarius Pomelo 500 ml NR Pet 12B
147000074,Aquarius Pera 500 ml NR Pet 12B
147000075,Aquarius Manzana 500 ml NR Pet 12B
147000166,Aquarius Naranja 500 ml NR Pet 12B
147000167,Aquarius Pomelo Rosado 500 ml NR Pet 12B
147000071,Cepita Fresh Naranja 500 ml NR Pet 12B
147000072,Cepita Fresh Pomelo 500 ml NR Pet 12B
147000061,Coca-Cola 500 ml NR Pet 12B
147000093,Coca-Cola Zero 500 ml NR Pet 12B
147000063,Fanta Naranja 500 ml NR Pet 12B
147000120,Powerade Manzana 500 ml NR Pet 6B
147000077,Powerade Mountain Blast 500 ml NR Pet 6B
147000078,Powerade Frutas Trop. 500 ml NR Pet 6B
147000157,Powerade Uva 500 ml NR Pet 6B
147000062,Sprite F LS 500 ml NR Pet 12B
147000090,Benedictino s/gas 600 ml NR Pet 12B
147000076,Benedictino c/gas 600 ml NR Pet 12B
147000079,Powerade Mountain Blast 995 ml NR Pet 6B
147000172,Powerade Manzana 995 ml NR Pet 6B
147000080,Powerade Frutas Trop. 995 ml NR Pet 6B
115000095,AdeS Manzana F 1 Ltro. Tetra 8B     
115000002,AdeS Naranja F 1 Ltro. Tetra 8B         
115000072,AdeS Frutas Tropicales F 1 Ltro TB 8B 
115000096,AdeS Durazno F 1 Ltro. Tetra 8B         
115000011,AdeS Ananá F 1 Ltro. Tetra 8B           
147000148,Cepita Naranja 1 Ltro. NR Pet 6B
147000147,Cepita Durazno 1 Ltro. NR Pet 6B
147000117,Cepita Naranja 25% 1 Ltro. Tetra 6B
147000067,Cepita Multifruta 25% 1 Ltro. Tetra 6B
147000121,Cepita Manzana 25% 1 Ltro. Tetra 6B
147000109,Aquarius Pomelo 1.5 Lts. NR Pet 6B
147000114,Aquarius Pera 1.5 Lts. NR Pet 6B
147000016,Aquarius Manzana 1.5 Lts. NR Pet 6B
147000164,Aquarius Limonada 1.5 Lts. NR Pet 6B
147000115,Aquarius Naranja 1.5 Lts. NR Pet 6B
147000100,Aquarius Pom.Rosado 1.5 Lts. NR Pet 6B
147000092,Cepita Naranja 1.5 Lts. NR Pet 4B
147000116,Cepita Anana 1.5 Lts. NR Pet 4B
147000087,Cepita Durazno 1.5 Lts. NR Pet 4B
147000102,Cepita Manzana 1.5 Lts. NR Pet 4B
147000064,Cepita Fresh Naranja 1.5 Lts. NR Pet 6B
147000065,Cepita Fresh Pomelo 1.5 Lts. NR Pet 6B
147000005,Coca-Cola LS 1.5 Lts. NR Pet 6B
147000091,Coca-Cola Zero 1.5 Lts. NR Pet 6B
147000068,Fanta Naranja 1.5 Lts. NR Pet 6B
147000118,Fanta Zero 1.5 Lts. NR Pet 6B
147000069,Sprite F LS 1.5 Lts. NR Pet 6B
147000119,Sprite F Zero 1.5 Lts. NR Pet 6B
147000105,Benedictino s/gas 2 Lts. NR Pet 6B
147000104,Soda Benedictino 2 Lts. NR Pet 6B
147000103,Soda Benedictino Sifón 2.0 Lts NR Pet 6B
147000030,Aquarius Pomelo 2.25 Lts. NR Pet 6B
147000122,Aquarius Pera 2.25 Lts. NR Pet 6B
147000110,Aquarius Manzana 2.25 Lts. NR Pet 6B
147000133,Aquarius Limonada 2.25 Lts. NR Pet 6B
147000113,Aquarius Naranja 2.25 Lts. NR Pet 6B
147000101,Aquarius Pom.Rosado 2.25 Lts. NR Pet 6B
147000004,Coca-Cola LS 2.25 Lts. NR Pet 6B
147000028,Coca-Cola Zero 2.25 Lts. NR Pet 6B
147000059,Fanta Naranja 2.25 Lts. NR Pet 6B
147000136,Schweppes Tonica 2.25 Lts. NR Pet 6B
147000132,Schweppes Pomelo Zero 2.25 Lts NR Pet 6B
147000031,Sprite F LS 2.25 Lts. NR Pet 6B
147000126,Fanta Manzana 2.5 Lts. NR Pet 6B
147000127,Fanta Pomelo NF 2.5 Lts. NR Pet 6B
147000129,Benedictino s/gas 3 Lts. NR Pet 6B
147000176,Dual Bened.+Bened. SG 3 Lts. NR Pet 6B
147000137,Dualpack Coca-Cola+Fanta Nar 2.25L Pet6B
147000144,Dualpack Coca-Cola+Sprite F 2.25L Pet6B
147000140,Dualpack Coca-Cola+Coca Zero 2.25L Pet6B
147000141,Cepita Fresh Naranja 3 Lts. NR Pet 6B
147000155,Cepita Fresh Pomelo 3 Lts. NR Pet 6B
147000017,Coca-Cola LS 3 Lts. NR Pet 6B
147000050,Crush Naranja 3 Lts. NR Pet 6B
147000052,Crush Lima-Limon S/Az. 3 Lts. NR Pet 6B
147000051,Crush Pomelo 3 Lts. NR Pet 6B
147000089,Crush Manzana S/Az. 3 Lts. NR Pet 6B
147000094,Fanta Naranja 3 Lts. NR Pet 6B
147000112,Sprite F LS 3 Lts. NR Pet 6B
147000086,Benedictino s/gas 6.25 Lts. NR Pet 1B